"ID","ProvideJobs","Prices","HealthCare","Elderly","Industry","Unemployed","IncInequal","College","Housing","Environment"
214,2,2,1,1,2,2,1,1,2,1
215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,2,1,2,1,2,2,1,2,2,1
217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,1,3,1,1,4,1,3,2,1,1
220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,1,3,3,1,2,1,3,1,2,1
224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,4,3,2,2,2,2,NA,2,2,2
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,NA,NA,1,1,2,NA,NA,NA,NA,NA
228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,3,3,3,1,3,3,3,1,1,1
239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,1,1,1,1,1,1,1,1,1,1
242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,2,1,1,1,2,4,4,1,2,3
262,1,1,1,1,1,4,1,1,1,1
263,1,1,1,1,1,1,1,1,1,1
264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,2,2,2,1,2,3,3,2,2,2
266,2,1,2,1,2,3,1,1,2,1
267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
